City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Castro,BR,54.27,clear sky,-24.7911,-50.0119,CHACARA BAILLY
2,Nemuro,JP,63.05,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
5,Busselton,AU,54.05,light rain,-33.65,115.3333,Observatory Guest House
6,Rosetown,CA,60.78,overcast clouds,51.5501,-108.0014,Travelodge by Wyndham Rosetown
15,Carnarvon,AU,69.87,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
20,Salto,UY,50.88,scattered clouds,-31.3833,-57.9667,Gran Hotel Uruguay
23,Airai,TL,56.95,scattered clouds,-8.9266,125.4092,Juvinal Martin
26,Bambous Virieux,MU,70.05,light intensity shower rain,-20.3428,57.7575,Casa Tia Villa
31,Vaini,TO,68.16,fog,-21.2,-175.2,Keleti Beach Resort
32,Maningrida,AU,69.39,scattered clouds,-12.0667,134.2667,Dhukurrdji Lodge
33,College,US,59.0,smoke,64.8569,-147.8028,Pike's Waterfront Lodge
34,Port Alfred,ZA,63.18,overcast clouds,-33.5906,26.891,The Halyards Hotel
37,Cape Town,ZA,58.1,light rain,-33.9258,18.4232,Southern Sun Waterfront Cape Town
39,Calbuco,CL,51.01,overcast clouds,-41.768,-73.1273,Hotel Colonial
42,Norman Wells,CA,60.84,clear sky,65.282,-126.8329,Heritage Hotel
44,Saint-Philippe,RE,71.19,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
46,La Ronge,CA,62.85,smoke,55.1001,-105.2842,Northland Motor Hotel
47,Bredasdorp,ZA,51.28,light rain,-34.5322,20.0403,Bredasdorp Country Manor
48,Quatre Cocos,MU,69.91,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
50,Rikitea,PF,71.46,light rain,-23.1203,-134.9692,People ThankYou
51,Cidreira,BR,53.96,clear sky,-30.1811,-50.2056,Hotel Castelo
53,Ketchikan,US,57.67,broken clouds,55.3422,-131.6461,Snows Cove Lodge
54,Yellowknife,CA,63.28,scattered clouds,62.456,-114.3525,The Explorer Hotel
58,Perth,AU,57.38,moderate rain,-31.9333,115.8333,Beatty Lodge
59,Sainte-Marie,RE,71.76,clear sky,-20.8968,55.5496,Les pailles en queue de Sainte Marie
62,Faya,SA,64.51,overcast clouds,18.3851,42.4509,مقبرة ال مجمل
63,Lebu,CL,53.76,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
66,Guadalupe Y Calvo,MX,59.38,broken clouds,26.1,-106.9667,Hotel Pizarro
70,Vao,NC,70.92,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
73,Hailey,US,62.46,clear sky,43.5196,-114.3153,Wood River Inn & Suites
76,Trelew,AR,53.6,overcast clouds,-43.249,-65.3051,Hotel Touring Club
83,Kodiak,US,58.51,light rain,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
85,Tucuman,AR,55.4,clear sky,-26.8241,-65.2226,HOTEL MIAMI
88,Chuy,UY,51.98,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
93,Calama,CL,63.09,scattered clouds,-22.4667,-68.9333,Diego De Almagro Calama
94,Mahebourg,MU,70.09,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
96,Kununurra,AU,58.98,scattered clouds,-15.7667,128.7333,Hotel Kununurra
99,Hovd,MN,67.64,overcast clouds,48.0056,91.6419,Hotel Khovd
101,Astoria,US,61.02,overcast clouds,46.1879,-123.8313,Best Western Astoria Bayfront Hotel
109,Nikolskoye,RU,71.4,broken clouds,59.7035,30.7861,Tourist House - Sablino
