,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Castro,BR,-24.7911,-50.0119,54.27,41,9,4.27,clear sky
1,Saskylakh,RU,71.9167,114.0833,59.31,63,98,7.49,overcast clouds
2,Nemuro,JP,43.3236,145.575,63.05,98,98,5.26,overcast clouds
3,Neuquen,AR,-38.9516,-68.0591,42.69,65,100,2.3,overcast clouds
4,Faanui,PF,-16.4833,-151.75,78.3,75,30,23.49,light rain
5,Busselton,AU,-33.65,115.3333,54.05,87,100,16.6,light rain
6,Rosetown,CA,51.5501,-108.0014,60.78,94,100,10.36,overcast clouds
7,Kazanlak,BG,42.6167,25.4,89.46,51,68,4.29,broken clouds
8,Noyemberyan,AM,41.1724,44.9992,97.99,25,16,7.85,few clouds
9,Punta Arenas,CL,-53.15,-70.9167,39.31,81,0,19.57,clear sky
10,Disna,BY,55.568,28.1971,73.26,44,1,8.03,clear sky
11,Carauari,BR,-4.8828,-66.8958,79.23,53,55,4.59,broken clouds
12,Kahului,US,20.8947,-156.47,73.42,85,1,16.11,clear sky
13,Ushuaia,AR,-54.8,-68.3,35.22,93,75,8.05,light snow
14,Albany,US,42.6001,-73.9662,78.03,79,0,1.01,clear sky
15,Carnarvon,AU,-24.8667,113.6333,69.87,88,75,11.5,broken clouds
16,Iqaluit,CA,63.7506,-68.5145,42.53,86,90,3.0,light rain
17,Dingle,PH,10.9995,122.6711,78.58,84,100,9.89,light rain
18,Kapaa,US,22.0752,-159.319,79.12,78,40,5.01,light rain
19,Laguna,US,38.421,-121.4238,76.21,72,1,3.0,clear sky
20,Salto,UY,-31.3833,-57.9667,50.88,65,28,8.99,scattered clouds
21,Mataura,NZ,-46.1927,168.8643,41.49,95,23,3.44,few clouds
22,Hithadhoo,MV,-0.6,73.0833,81.09,78,95,8.52,overcast clouds
23,Airai,TL,-8.9266,125.4092,56.95,87,39,3.53,scattered clouds
24,Jamestown,US,42.097,-79.2353,75.29,83,1,8.05,clear sky
25,Ponta Do Sol,PT,32.6667,-17.1,77.72,68,0,3.06,clear sky
26,Bambous Virieux,MU,-20.3428,57.7575,70.05,83,75,20.71,light intensity shower rain
27,Bluff,NZ,-46.6,168.3333,41.81,83,93,13.11,moderate rain
28,Maniitsoq,GL,65.4167,-52.9,43.21,89,100,13.85,overcast clouds
29,Pauini,BR,-7.7136,-66.9764,78.89,43,5,5.21,clear sky
30,Turayf,SA,31.6725,38.6637,107.85,14,0,4.61,clear sky
31,Vaini,TO,-21.2,-175.2,68.16,94,20,2.3,fog
32,Maningrida,AU,-12.0667,134.2667,69.39,68,32,10.94,scattered clouds
33,College,US,64.8569,-147.8028,59.0,74,40,3.44,smoke
34,Port Alfred,ZA,-33.5906,26.891,63.18,72,89,19.8,overcast clouds
35,Benguela,AO,-12.5763,13.4055,75.65,73,37,8.68,scattered clouds
36,Sosva,RU,59.1766,61.8558,80.8,49,60,3.56,broken clouds
37,Cape Town,ZA,-33.9258,18.4232,58.1,66,75,3.0,light rain
38,Karratha,AU,-20.7377,116.8463,72.54,71,94,6.42,overcast clouds
39,Calbuco,CL,-41.768,-73.1273,51.01,94,99,2.82,overcast clouds
40,Pevek,RU,69.7008,170.3133,38.75,79,79,5.06,broken clouds
41,Kavieng,PG,-2.5744,150.7967,81.48,79,100,3.65,light rain
42,Norman Wells,CA,65.282,-126.8329,60.84,67,1,8.05,clear sky
43,Atuona,PF,-9.8,-139.0333,77.59,66,93,25.01,overcast clouds
44,Saint-Philippe,RE,-21.3585,55.7679,71.19,75,20,14.58,few clouds
45,Provideniya,RU,64.3833,-173.3,47.39,95,100,4.14,light rain
46,La Ronge,CA,55.1001,-105.2842,62.85,77,90,3.44,smoke
47,Bredasdorp,ZA,-34.5322,20.0403,51.28,82,97,6.91,light rain
48,Quatre Cocos,MU,-20.2078,57.7625,69.91,78,85,21.63,light rain
49,Bima,ID,-8.4667,118.7167,72.86,93,92,4.18,overcast clouds
50,Rikitea,PF,-23.1203,-134.9692,71.46,63,100,25.5,light rain
51,Cidreira,BR,-30.1811,-50.2056,53.96,59,1,10.02,clear sky
52,Qaanaaq,GL,77.484,-69.3632,38.91,72,100,1.43,overcast clouds
53,Ketchikan,US,55.3422,-131.6461,57.67,94,75,0.0,broken clouds
54,Yellowknife,CA,62.456,-114.3525,63.28,88,40,1.01,scattered clouds
55,Hobart,AU,-42.8794,147.3294,42.93,75,75,1.99,broken clouds
56,Montes Altos,BR,-5.8333,-47.0667,81.09,35,0,4.68,clear sky
57,Avarua,CK,-21.2078,-159.775,73.45,94,75,12.66,light rain
58,Perth,AU,-31.9333,115.8333,57.38,97,90,10.36,moderate rain
59,Sainte-Marie,RE,-20.8968,55.5496,71.76,60,0,18.41,clear sky
60,Jacareacanga,BR,-6.2222,-57.7528,86.31,58,0,4.61,clear sky
61,Luderitz,NA,-26.6481,15.1594,63.21,57,100,27.4,overcast clouds
62,Faya,SA,18.3851,42.4509,64.51,69,100,7.25,overcast clouds
63,Lebu,CL,-37.6167,-73.65,53.76,90,100,9.35,overcast clouds
64,Balabac,PH,7.9868,117.0645,82.69,78,95,11.41,overcast clouds
65,Srednekolymsk,RU,67.45,153.6833,54.55,75,54,8.12,broken clouds
66,Guadalupe Y Calvo,MX,26.1,-106.9667,59.38,79,63,4.32,broken clouds
67,Berlevag,NO,70.8578,29.0864,46.04,71,94,27.31,overcast clouds
68,Taoudenni,ML,22.6783,-3.9836,120.07,6,53,3.44,broken clouds
69,Seoul,KR,37.5683,126.9778,81.91,86,0,1.14,light rain
70,Vao,NC,-22.6667,167.4833,70.92,80,1,7.83,clear sky
71,New Norfolk,AU,-42.7826,147.0587,42.58,75,54,3.51,broken clouds
72,Sisimiut,GL,66.9395,-53.6735,46.9,71,99,8.37,overcast clouds
73,Hailey,US,43.5196,-114.3153,62.46,77,1,11.5,clear sky
74,Bubaque,GW,11.2833,-15.8333,82.26,75,20,7.02,few clouds
75,Nanortalik,GL,60.1432,-45.2371,45.09,79,100,3.27,overcast clouds
76,Trelew,AR,-43.249,-65.3051,53.6,54,85,19.33,overcast clouds
77,Cayenne,GF,4.9333,-52.3333,88.09,70,75,3.0,broken clouds
78,Broome,US,42.2506,-75.833,77.63,90,75,1.01,mist
79,Huilong,CN,31.8111,121.655,81.99,88,8,13.91,clear sky
80,Kaitangata,NZ,-46.2817,169.8464,38.44,87,82,4.85,broken clouds
81,Dikson,RU,73.5069,80.5464,46.58,68,100,11.32,overcast clouds
82,Balingasay,PH,16.3573,119.8564,80.29,86,100,13.33,overcast clouds
83,Kodiak,US,57.79,-152.4072,58.51,77,90,4.61,light rain
84,Matara,LK,5.9485,80.5353,79.72,84,67,10.47,broken clouds
85,Tucuman,AR,-26.8241,-65.2226,55.4,50,0,0.0,clear sky
86,Lavrentiya,RU,65.5833,-171.0,45.37,97,100,5.75,light rain
87,Keti Bandar,PK,24.1447,67.4497,83.8,84,68,24.36,broken clouds
