City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Clyde River,CA,2021-07-17 14:48:12,70.4692,-68.5914,43.03,81,90,14.97
1,Esperance,AU,2021-07-17 14:48:12,-33.8667,121.9,51.64,77,100,6.64
2,Upernavik,GL,2021-07-17 14:48:12,72.7868,-56.1549,40.24,81,100,12.53
3,Avarua,CK,2021-07-17 14:48:13,-21.2078,-159.775,73.45,83,81,6.91
4,Lalibela,ET,2021-07-17 14:48:13,12.0333,39.0333,61.43,69,100,2.57
5,Barrow,US,2021-07-17 14:48:13,71.2906,-156.7887,48.22,90,90,12.66
6,Tasiilaq,GL,2021-07-17 14:48:14,65.6145,-37.6368,48.36,71,71,7.65
7,Rikitea,PF,2021-07-17 14:48:14,-23.1203,-134.9692,71.98,80,26,13.91
8,Hithadhoo,MV,2021-07-17 14:48:14,-0.6,73.0833,83.03,69,86,3.56
9,Palmer,US,2021-07-17 14:48:15,42.1584,-72.3287,82.81,68,75,1.99
10,Jamestown,US,2021-07-17 14:46:21,42.097,-79.2353,71.29,97,90,7.0
11,Honiara,SB,2021-07-17 14:48:15,-9.4333,159.95,76.89,81,29,7.05
12,Chokurdakh,RU,2021-07-17 14:48:15,70.6333,147.9167,37.62,82,80,15.39
13,Stykkisholmur,IS,2021-07-17 14:48:16,65.0757,-22.7297,54.91,79,46,5.93
14,Buala,SB,2021-07-17 14:48:16,-8.145,159.5921,80.15,84,100,8.52
15,Kruisfontein,ZA,2021-07-17 14:48:16,-34.0033,24.7314,62.89,57,0,8.61
16,Praia,CV,2021-07-17 14:48:17,14.9215,-23.5087,82.94,61,0,16.11
17,Punta Arenas,CL,2021-07-17 14:47:51,-53.15,-70.9167,33.82,100,75,5.75
18,Vaini,TO,2021-07-17 14:48:17,-21.2,-175.2,73.56,94,20,6.91
19,Guerrero Negro,MX,2021-07-17 14:44:29,27.9769,-114.0611,70.09,77,97,10.8
20,Caravelas,BR,2021-07-17 14:48:18,-17.7125,-39.2481,80.31,55,0,7.74
21,Narsaq,GL,2021-07-17 14:48:18,60.9167,-46.05,57.42,71,96,3.51
22,Casino,AU,2021-07-17 14:48:18,-28.8667,153.05,57.56,44,21,8.05
23,Hilo,US,2021-07-17 14:48:19,19.7297,-155.09,75.27,88,90,4.61
24,Seoul,KR,2021-07-17 14:47:30,37.5683,126.9778,78.24,88,20,3.44
25,New Norfolk,AU,2021-07-17 14:48:19,-42.7826,147.0587,48.58,80,76,1.01
26,Bengkulu,ID,2021-07-17 14:48:19,-3.8004,102.2655,76.84,89,76,4.03
27,Megion,RU,2021-07-17 14:48:20,61.0296,76.1136,59.02,81,96,4.25
28,Guangyuan,CN,2021-07-17 14:48:20,32.442,105.823,76.84,95,100,2.24
29,Ponta Do Sol,PT,2021-07-17 14:48:21,32.6667,-17.1,83.71,68,3,2.15
30,Chuy,UY,2021-07-17 14:48:21,-33.6971,-53.4616,52.39,73,84,13.71
31,Goure,NE,2021-07-17 14:48:22,13.9835,10.2704,93.02,33,54,10.45
32,Ouro Preto Do Oeste,BR,2021-07-17 14:48:22,-10.7481,-62.2158,93.56,26,0,2.51
33,Albany,US,2021-07-17 14:46:38,42.6001,-73.9662,79.54,74,100,5.26
34,Merauke,ID,2021-07-17 14:48:22,-8.4667,140.3333,77.5,86,62,13.15
35,Cabedelo,BR,2021-07-17 14:48:23,-6.9811,-34.8339,75.87,77,44,14.16
36,Nabire,ID,2021-07-17 14:48:23,-3.3667,135.4833,76.71,92,100,2.95
37,Marsh Harbour,BS,2021-07-17 14:48:24,26.5412,-77.0636,82.56,70,6,11.59
38,Kochubey,RU,2021-07-17 14:48:24,44.3861,46.5825,87.98,34,19,17.31
39,Hermanus,ZA,2021-07-17 14:48:24,-34.4187,19.2345,63.9,85,7,4.21
40,Berlevag,NO,2021-07-17 14:48:25,70.8578,29.0864,53.1,72,60,21.77
41,Verkh-Usugli,RU,2021-07-17 14:48:25,52.7,115.1667,63.25,69,100,2.84
42,Micheweni,TZ,2021-07-17 14:48:25,-4.9667,39.8333,76.82,74,9,16.91
43,Butaritari,KI,2021-07-17 14:48:25,3.0707,172.7902,83.8,75,11,17.18
44,Praia Da Vitoria,PT,2021-07-17 14:48:26,38.7333,-27.0667,73.76,68,40,3.4
45,Puerto Ayora,EC,2021-07-17 14:43:41,-0.7393,-90.3518,73.36,99,99,1.01
46,Ushuaia,AR,2021-07-17 14:46:33,-54.8,-68.3,31.66,86,40,5.75
47,Puerto Escondido,MX,2021-07-17 14:46:15,15.85,-97.0667,84.0,57,95,2.84
48,Saint George,US,2021-07-17 14:46:10,37.1041,-113.5841,88.36,45,1,4.0
49,Castro,BR,2021-07-17 14:48:27,-24.7911,-50.0119,61.68,85,82,9.04
50,Poum,NC,2021-07-17 14:48:27,-20.2333,164.0167,74.01,77,2,5.68
51,Dingle,PH,2021-07-17 14:48:28,10.9995,122.6711,77.72,88,100,7.43
